Event ID,Crossed MODULE ID,Detector Type
1,40,cylinder
2,320,planar_right
2,34,cylinder
3,40,cylinder
4,35,cylinder
5,64,cylinder
6,129,planar_right
6,73,cylinder
6,351,planar_right
7,33,cylinder
8,57,cylinder
9,51,cylinder
10,65,cylinder
11,27,cylinder
12,42,cylinder
13,57,cylinder
14,73,cylinder
15,43,cylinder
16,72,cylinder
16,348,planar_right
17,48,cylinder
18,75,cylinder
19,34,cylinder
19,289,planar_right
21,18,cylinder
21,413,planar_left
22,64,cylinder
23,56,cylinder
24,56,cylinder
25,35,cylinder
26,577,planar_left
26,18,cylinder
26,383,planar_left
27,48,cylinder
28,26,cylinder
29,67,cylinder
30,41,cylinder
30,386,planar_left
31,27,cylinder
32,58,cylinder
33,59,cylinder
34,33,cylinder
35,42,cylinder
36,35,cylinder
37,51,cylinder
38,51,cylinder
39,17,cylinder
39,542,planar_left
40,58,cylinder
41,74,cylinder
42,35,cylinder
43,25,cylinder
44,24,cylinder
45,32,cylinder
46,51,cylinder
47,64,cylinder
48,25,cylinder
49,26,cylinder
50,50,cylinder
51,18,cylinder
51,399,planar_left
52,65,cylinder
52,401,planar_left
53,19,cylinder
53,364,planar_left
54,57,cylinder
55,40,cylinder
56,49,cylinder
57,48,cylinder
58,16,cylinder
58,589,planar_left
59,75,cylinder
59,124,planar_right
60,42,cylinder
61,25,cylinder
62,49,cylinder
63,65,cylinder
64,40,cylinder
65,65,cylinder
66,59,cylinder
67,67,cylinder
68,32,cylinder
69,50,cylinder
70,41,cylinder
70,384,planar_left
71,50,cylinder
72,58,cylinder
73,35,cylinder
73,595,planar_left
74,40,cylinder
75,33,cylinder
75,192,planar_right
76,33,cylinder
77,66,cylinder
78,369,planar_left
78,32,cylinder
79,320,planar_right
79,26,cylinder
80,49,cylinder
81,67,cylinder
82,24,cylinder
83,18,cylinder
83,383,planar_left
84,24,cylinder
85,41,cylinder
86,64,cylinder
87,48,cylinder
88,33,cylinder
89,17,cylinder
89,558,planar_left
90,26,cylinder
91,34,cylinder
92,48,cylinder
93,65,cylinder
94,35,cylinder
95,66,cylinder
96,67,cylinder
97,16,cylinder
97,588,planar_left
98,57,cylinder
99,65,cylinder
100,66,cylinder
101,17,cylinder
101,591,planar_left
102,59,cylinder
103,48,cylinder
104,25,cylinder
105,73,cylinder
106,17,cylinder
106,575,planar_left
107,51,cylinder
108,307,planar_right
108,67,cylinder
109,27,cylinder
110,24,cylinder
111,49,cylinder
112,74,cylinder
112,126,planar_right
113,32,cylinder
114,27,cylinder
115,17,cylinder
115,543,planar_left
116,19,cylinder
116,380,planar_left
117,43,cylinder
118,66,cylinder
119,16,cylinder
119,607,planar_left
120,50,cylinder
121,18,cylinder
122,27,cylinder
123,48,cylinder
124,57,cylinder
125,16,cylinder
125,98,planar_right
126,43,cylinder
127,67,cylinder
128,43,cylinder
129,66,cylinder
130,114,planar_right
130,56,cylinder
131,145,planar_right
131,25,cylinder
132,74,cylinder
133,48,cylinder
134,59,cylinder
135,67,cylinder
136,67,cylinder
137,33,cylinder
137,208,planar_right
138,74,cylinder
138,142,planar_right
139,57,cylinder
140,75,cylinder
140,107,planar_right
141,50,cylinder
142,58,cylinder
143,103,planar_right
143,56,cylinder
144,58,cylinder
145,26,cylinder
146,25,cylinder
147,59,cylinder
148,75,cylinder
149,18,cylinder
150,41,cylinder
151,64,cylinder
152,59,cylinder
153,17,cylinder
153,590,planar_left
154,26,cylinder
155,67,cylinder
156,49,cylinder
157,480,planar_left
157,26,cylinder
158,24,cylinder
159,35,cylinder
160,65,cylinder
160,208,planar_right
161,42,cylinder
162,19,cylinder
162,367,planar_left
163,322,planar_right
163,75,cylinder
163,110,planar_right
164,57,cylinder
165,25,cylinder
166,64,cylinder
167,65,cylinder
168,65,cylinder
169,41,cylinder
170,65,cylinder
171,26,cylinder
172,24,cylinder
173,42,cylinder
174,19,cylinder
174,360,planar_left
174,72,cylinder
175,75,cylinder
176,58,cylinder
177,56,cylinder
178,240,planar_right
178,50,cylinder
179,25,cylinder
180,57,cylinder
181,66,cylinder
182,56,cylinder
183,27,cylinder
184,368,planar_left
184,25,cylinder
185,34,cylinder
186,16,cylinder
187,112,planar_right
187,41,cylinder
188,18,cylinder
188,447,planar_left
189,18,cylinder
190,26,cylinder
191,40,cylinder
192,323,planar_right
192,19,cylinder
192,363,planar_left
193,66,cylinder
193,529,planar_left
194,73,cylinder
194,255,planar_right
195,66,cylinder
196,369,planar_left
196,48,cylinder
197,386,planar_left
197,16,cylinder
197,572,planar_left
198,18,cylinder
199,56,cylinder
200,48,cylinder
200,59,cylinder
201,27,cylinder
202,35,cylinder
203,67,cylinder
204,65,cylinder
205,58,cylinder
205,224,planar_right
206,49,cylinder
207,56,cylinder
208,74,cylinder
209,33,cylinder
210,58,cylinder
211,75,cylinder
211,108,planar_right
212,34,cylinder
213,64,cylinder
214,18,cylinder
214,479,planar_left
215,48,cylinder
216,26,cylinder
217,32,cylinder
218,40,cylinder
219,34,cylinder
220,50,cylinder
221,59,cylinder
222,64,cylinder
223,40,cylinder
224,50,cylinder
225,65,cylinder
226,75,cylinder
227,66,cylinder
228,32,cylinder
229,113,planar_right
229,64,cylinder
230,17,cylinder
231,64,cylinder
231,370,planar_left
232,56,cylinder
232,130,planar_right
233,24,cylinder
234,74,cylinder
234,141,planar_right
235,72,cylinder
235,344,planar_right
236,17,cylinder
236,558,planar_left
237,65,cylinder
238,26,cylinder
239,16,cylinder
240,19,cylinder
241,40,cylinder
242,49,cylinder
242,145,planar_right
243,34,cylinder
243,528,planar_left
244,65,cylinder
245,42,cylinder
246,35,cylinder
247,35,cylinder
248,67,cylinder
249,43,cylinder
250,56,cylinder
251,43,cylinder
252,16,cylinder
252,601,planar_left
253,74,cylinder
254,57,cylinder
255,57,cylinder
256,67,cylinder
257,19,cylinder
258,56,cylinder
258,115,planar_right
259,26,cylinder
260,72,cylinder
260,334,planar_right
261,16,cylinder
262,115,planar_right
262,72,cylinder
262,332,planar_right
263,26,cylinder
264,42,cylinder
265,65,cylinder
266,19,cylinder
